pickup_dt,pickup_month,borough,pickups,hday,spd,vsb,temp,dewp,slp,pcp 01,pcp 06,pcp 24,sd
2022-01-01 00:00:00,1,Manhattan,178,Y,2.7799136309348693,8.300280515210122,31.719880183790465,34.109586359302355,999.1077271176661,0.0,0.0,0.0,0
2022-01-01 01:00:00,1,Staten Island,196,N,13.185349646594384,4.04630674947083,74.82816724255716,46.940784394602346,997.3014762411193,0.0,0.3,0.0,0
2022-01-01 02:00:00,1,Queens,211,Y,3.258515895624614,4.047667081395298,89.94179566479067,38.56782143398467,1006.584356536391,0.0,0.0,0.0,0
2022-01-01 03:00:00,1,Brooklyn,185,Y,16.25980126545644,5.502310616539535,22.87130611189662,24.784109654123302,1028.5646895064322,0.0,0.0,1.5,0
2022-01-01 04:00:00,1,Manhattan,160,Y,15.918841763100179,8.70079654720527,69.39162036815861,63.40450696315943,991.8911157626088,0.0,0.0,0.0,0
2022-01-01 05:00:00,1,Manhattan,190,N,5.672124785655215,9.541583298086012,21.78307499959424,38.814254221646316,1028.035957438839,0.0,0.1,0.0,0
2022-01-01 06:00:00,1,Manhattan,175,N,9.315972454992894,1.429851091028218,15.375877236248154,52.835384328212555,1019.103855466047,0.05,0.0,0.0,0
2022-01-01 07:00:00,1,Bronx,189,N,13.661894098733633,5.206117126377126,93.0327041201038,65.46059937316375,1015.7588492569519,0.0,0.0,0.8,0
2022-01-01 08:00:00,1,Queens,193,N,8.48685529645229,8.880112903260875,31.750489550007508,69.66272165586591,1025.6678215832508,0.05,0.0,0.3,0
2022-01-01 09:00:00,1,Queens,172,N,1.565420454987505,5.927988991939901,78.95554027808649,31.26456170664597,1032.1597166880777,0.0,0.0,0.3,0
2022-01-01 10:00:00,1,Manhattan,181,N,5.548589369412067,5.055916442609826,59.65086184248015,14.37835121530853,994.8454994639146,0.0,0.0,0.0,0
2022-01-01 11:00:00,1,EWR,179,N,10.267358825920699,2.3610061165982383,65.38865930681722,61.54834229321559,1014.8231491594709,0.01,0.0,0.8,0
